category/id,title,title_pt,original_description,xml_line,data_type,api_to_encoded_values,routes,status
02/41,,,眠気検知システム休憩喚起 感度切替,1317,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
02/42,Head-up Warning,Aviso Head-up,HUW 機能 ON/OFF,1337,0,"{""1"": 0, ""2"": 1}","[{""source"": 80, ""menu"": 40}]",metadata_present
02/43,ACC Display Speed Unit,Unidade de Velocidade no Visor de ACC,ACC設定車速表示単位,1359,0,"{""1"": 2, ""2"": 1}","[{""source"": 0, ""menu"": 2}]",metadata_present
02/44,Rev Match,Adaptação de rotações,RevMatch制御,1381,0,"{""1"": 1, ""2"": 2}","[{""source"": 0, ""menu"": 14}]",metadata_present
03/01,Speed Alarm 1 Function,,ｽﾋﾟｰﾄﾞｱﾗｰﾑ１機能,1403,0,"{""1"": 1, ""2"": 0}","[{""source"": 80, ""menu"": 1}]",metadata_present
03/02,Speed Alarm 1 Vehicle Speed Setting,,ｽﾋﾟｰﾄﾞｱﾗｰﾑ１車速設定値,1425,1,{},"[{""source"": 80, ""menu"": 1}]",metadata_present
03/03,Speed Alarm 2 Function,,ｽﾋﾟｰﾄﾞｱﾗｰﾑ２機能,1444,0,"{""1"": 1, ""2"": 0}","[{""source"": 80, ""menu"": 1}]",metadata_present
03/04,Speed Alarm 2 Vehicle Speed Setting,,ｽﾋﾟｰﾄﾞｱﾗｰﾑ２車速設定値,1466,1,{},"[{""source"": 80, ""menu"": 1}]",metadata_present
03/05,,,ACC設定車速表示単位,1485,0,"{""1"": 2, ""2"": 1}",[],no_xml_route
03/06,Night Vision: Light Control,,ﾅｲﾄﾋﾞｼﾞｮﾝｲﾙﾐｺﾝﾄﾛｰﾙ,1505,0,"{""1"": 0, ""2"": 1, ""3"": 2, ""4"": 3}",[],no_xml_route
03/07,Night Vision: System Start-Up Settings,,ﾅｲﾄﾋﾞｼﾞｮﾝｼｽﾃﾑ起動設定,1527,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
03/08,HUD Light Control,,HUD表示ｲﾙﾐｺﾝﾄﾛｰﾙ,1547,1,{},[],no_xml_route
03/09,Language Selection,Seleção de Idioma,言語設定 (US),1564,0,"{""1"": 0, ""2"": 1, ""3"": 2}","[{""source"": 80, ""menu"": 2}]",metadata_present
03/0A,Language Selection,Seleção de Idioma,言語設定 (US),1587,0,"{""1"": 0, ""2"": 1, ""3"": 2}",[],no_xml_route
03/0B,,,ﾒｰﾀｰ表示言語切り替え,1608,0,{},[],no_xml_route
03/0C,Language Selection,Seleção de Idioma,言語設定 (中国),1622,0,"{""1"": 0, ""2"": 1}","[{""source"": 80, ""menu"": 3}]",metadata_present
03/0D,Language Selection,Seleção de Idioma,言語設定 (EU) 6ヶ国語,1644,0,"{""1"": 0, ""2"": 1, ""3"": 2, ""4"": 3, ""5"": 4, ""6"": 5, ""7"": 255}","[{""source"": 80, ""menu"": 4}]",metadata_present
